,Retail_Product_Color,Retail_Product_Level1,Retail_Product_Level1Name,Retail_Product_Level2Name,Retail_Product_Level3Name,Retail_Product_Level4Name,Retail_Product_Name,Retail_Product_SKU,Retail_Product_Size,Retail_Product_Style,Retail_SOHQTY,Retail_CCQTY,_merge,Diff,Unders
897,JEANS,C,VESTUARIO,CY,CYD,CYDA,CALCA JEANS CF MSA INK USED TANK BARRA D,9480690002,42,CALÇA JEANS,1,1,both,0,0
898,PRETO,C,VESTUARIO,C7,C7A,C7AT,SOUTIEN TG BASICO PTO ERI C7 52 PRETO,7998040004,52,SOUTIEN / TOP,1,1,both,0,0
899,JEANS,C,VESTUARIO,CM,CMA,CMAA,CALCA CM PRD INK LAVAGEM COM USED SKY RA,9440850005,40,CALÇA JEANS,1,1,both,0,0
900,JEANS,C,VESTUARIO,C8,C8D,C8DA,CALCA C8 PRD JUVO INK SUPER STONE USED E,9484130003,14,CALÇA,1,0,left_only,-1,1
901,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS CRN MSA INK USED TANK RASGOS,9412320003,40,CALÇA JEANS,1,1,both,0,0
902,CINZA,C,VESTUARIO,CP,CPC,CPCD,CHINELO FECHADO EVA MINNIE E MICKEY  EST,9548880002,37/38,CHINELOS,1,1,both,0,0
903,AZUL,C,VESTUARIO,CM,CMA,CMAA,CALCA CM MSA INK JOGGER  CS  USED C BIGO,9264820001,36,CALÇA JEANS,1,0,left_only,-1,1
904,DOURADO,C,VESTUARIO,C5,C5A,C5AB,OCULOS  FEM METAL DOURADO REDONDO MARROM,9424520001,UNICO,ÓCULOS METAL,1,1,both,0,0
905,ROSA,C,VESTUARIO,CJ,CJA,CJAT,SOUTIEN BASE CJ MSA ELLA LISO ROSA 42 RO,9424660002,42,SOUTIEN / TOP,3,3,both,0,0
906,CINZA,C,VESTUARIO,CP,CPM,CPMG,2 PARES MEIA SOQUETE ACC SLO FRASES CINZ,9659390001,34/39,MEIA CASUAL/ESPORTIVA,7,4,both,-3,3
907,,W,BELEZA,WA,WAE,WAEP,DESODORANTE COLONIA MASCULINA PORTIOLLI,9392730000,,PERFUME,13,13,both,0,0
908,PRETO,C,VESTUARIO,CP,CPM,CPMG,3 PARES MEIA CURTA ACC SLO URSO GATO POA,9436300001,34/39,MEIA CASUAL/ESPORTIVA,7,0,left_only,-7,7
909,PRATEADO,C,VESTUARIO,C5,C5D,C5DA,COLAR DUPLO NIQUEL CORACAO BRILHO LTCP 0,9435200001,CURTO,COLAR,1,0,left_only,-1,1
910,ROSA,C,VESTUARIO,CY,CYA,CYAA,CALCA SARJA CRN PRD INK ROSA LISO C21527,9671540006,40,CALÇA JEANS,2,0,left_only,-2,2
911,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS JV PRD INK MARMORIZADO RASGO,9412590005,38,CALÇA JEANS,3,0,left_only,-3,3
912,VERDE,C,VESTUARIO,CY,CYA,CYAB,CALCA  CRN MSA INK BARRA NAVALHADA LISO,9479830005,46,CALÇA SARJA,2,0,left_only,-2,2
913,JEANS,C,VESTUARIO,CY,CYA,CYAD,BERMUDA JEANS CRN MSA INK USED BARRA DES,9573010003,40,BOTTOM CURTO JEANS,1,1,both,0,0
914,OFF WHITE,C,VESTUARIO,CN,CNC,CNCS,SHORT DOLL MANGA CURTA JV CN ELLA  CROPP,9669640004,P,SHORT DOLL,1,1,both,0,0
915,PRETO,C,VESTUARIO,CJ,CJA,CJAB,CALCINHA CJ ELLA RENDA PRETA FORRO PINK,9560460002,M,CALCINHA / BOTTOM,4,4,both,0,0
916,JEANS,C,VESTUARIO,C8,C8C,C8CA,CALCA C8 PRD CLOCHARD JUVA INK SUPER STO,9406150003,10,CALÇA,1,0,left_only,-1,1
917,JEANS,C,VESTUARIO,CY,CYA,CYAF,BLUSA JEANS APP EVT JEANS CRN  PRD INK M,8569960001,36,TOP,6,0,left_only,-6,6
918,,W,BELEZA,WA,WAE,WAEP,DESODORANTE COLONIA MASCULINA JEQUITI RO,9691650000,,PERFUME,3,2,both,-1,1
919,JEANS,C,VESTUARIO,CY,CYA,CYAD,SHORT JEANS CRN SLO INK BASICO AMACIADO,9384030007,46,BOTTOM CURTO JEANS,2,1,both,-1,1
920,JEANS,C,VESTUARIO,CY,CYA,CYAD,SHORT JEANS INK LISO JEANS 46 JEANS CLAR,9575890007,46,BOTTOM CURTO JEANS,1,1,both,0,0
921,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA  CRN PRD INK DETONADA  LISO C21457,9412580003,40,CALÇA JEANS,1,0,left_only,-1,1
922,JEANS,C,VESTUARIO,C8,C8C,C8CD,MACACAO C8 INFO PRD INK STONE USED TANK,9483960002,6,INTEIRO,3,0,left_only,-3,3
923,JEANS,C,VESTUARIO,CM,CMA,CMAA,CALCA CM MSA INK SLIM LAVAGEM COM USED F,9440460001,46,CALÇA JEANS,1,0,left_only,-1,1
924,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS  BIO MARCA DE TERCEIROS Skin,9697850001,36,CALÇA JEANS,1,0,left_only,-1,1
925,BEGE,C,VESTUARIO,C6,C6B,C6BI,CINTA APP ABDOMINAL ST  MODELADORA   CHO,8512210003,G,MODELADOR,1,0,left_only,-1,1
926,AMARELO,C,VESTUARIO,C6,C6A,C6AB,3 CALCINHAS APP TRS ONCA AMARELO BEGE PT,8459990002,M,CALCINHA / BOTTOM,8,4,both,-4,4
927,,W,BELEZA,WA,WAD,WADP,COLONIA DESODORANTE MASCULINA HOTWHEELS,8687370000,,PERFUME,4,3,both,-1,1
928,BRANCO,C,VESTUARIO,C9,C9A,C9AT,SOUTIEN BASE ALONGADA ESS C9 MSA BJ TRIA,9310700001,40,SOUTIEN / TOP,1,1,both,0,0
929,ROSA,C,VESTUARIO,CN,CNC,CNCK,CALCINHA JV CN SLO ELLA CEREJA ESTAMPADO,9588130001,G,KIT CALCINHA,1,1,both,0,0
930,JEANS,C,VESTUARIO,CM,CMA,CMAB,BERMUDA JEANS CRN PRD INK cordao rasgos,9578960001,38,BERMUDA JEANS,1,0,left_only,-1,1
931,VERDE,C,VESTUARIO,C8,C8D,C8DA,CALCA C8 INFO PRD INK CORDAO NO COS LISO,9470550001,6,CALÇA,2,2,both,0,0
932,BRANCO,C,VESTUARIO,CY,CYA,CYAE,BERMUDA SARJA CRN PRD INK LISO BRANCO 42,9676030003,42,BOTTOM CURTO SARJA,3,1,both,-2,2
933,ROSA,C,VESTUARIO,CY,CYA,CYAB,CALCA JEANS JV MSA INK BASICA BARRA VIRA,9427160011,40,CALÇA SARJA,2,0,left_only,-2,2
934,PRETO,C,VESTUARIO,C5,C5A,C5AA,OCULOS  C5 MSA MAIS ACESSORIOS FEM ACE P,9682900001,UNICO,ÓCULOS ACETATO,1,1,both,0,0
935,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS MSA INK VISTA ABOTOADA STONA,9384330006,38,CALÇA JEANS,1,0,left_only,-1,1
936,CHOCOLATE,C,VESTUARIO,C6,C6A,C6AB,MODELADORA APP TRS SUST CETINETE REF 431,6097660001,44,CALCINHA / BOTTOM,1,1,both,0,0
937,CINZA,C,VESTUARIO,C7,C7A,C7AK,CALCINHA C7 ELLA ESTAMPADO CINZA M CINZA,9458260003,M,KIT CALCINHA,2,2,both,0,0
938,BEGE,C,VESTUARIO,C6,C6A,C6AT,SOUTIEN APP TRS BIBELO BEGE REF  061486,6917900001,46,SOUTIEN / TOP,2,2,both,0,0
939,PRETO,C,VESTUARIO,CM,CMA,CMAA,CALCA CM MSA EVT PAIS INK LAVAGEM COM ST,9440410004,44,CALÇA JEANS,2,0,left_only,-2,2
940,PINK,C,VESTUARIO,CP,CPM,CPMG,MEIA CP FCX MAIS ACESSORIOS HOMESOCKS,9306360001,34/39,MEIA CASUAL/ESPORTIVA,1,1,both,0,0
941,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA  CRN PRD INK ELASTICO CLOCHARD MAR,9265730003,40,CALÇA JEANS,1,1,both,0,0
942,JEANS,C,VESTUARIO,CY,CYA,CYAD,BERMUDA JEANS CRN MSA INK USED BARRA DES,9573010004,46,BOTTOM CURTO JEANS,2,1,both,-1,1
943,CHUMBO,C,VESTUARIO,C5,C5A,C5AB,C OCULOS UNI MET CHUMBO HEXAGONAL FUME K,9556520001,UNICO,ÓCULOS METAL,1,1,both,0,0
944,ROSA,C,VESTUARIO,CR,CRA,CRAC,CAMISOLA SEM MANGA CR PRD ELLA RENDA FLO,9470400001,G,CAMISOLA / ROBE,1,1,both,0,0
945,JEANS,C,VESTUARIO,C8,C8D,C8DB,BERMUDA C8 PRD JUVO SUPER STONE COM USED,9484080002,12,BERMUDA,3,0,left_only,-3,3
946,VERDE,C,VESTUARIO,CR,CRA,CRAT,SOUTIEN CR SLO ELLA RENDA  LISO VERDE 44,9647240001,44,SOUTIEN / TOP,3,3,both,0,0
947,AZUL,C,VESTUARIO,C8,C8C,C8CB,SHORT C8 PRD INFA  INK BOLSO CARPINTEIRO,9483620001,4,SHORT/SAIA,2,0,left_only,-2,2
948,VERDE,C,VESTUARIO,C8,C8C,C8CB,SHORT C8 SLO INK SHORT INFO JUVA BARRA D,9633570005,6,SHORT/SAIA,2,1,both,-1,1
949,VERDE,C,VESTUARIO,CY,CYA,CYAB,CALCA  CRN MSA INK BARRA NAVALHADA LISO,9479830002,40,CALÇA SARJA,2,0,left_only,-2,2
950,PRETO,C,VESTUARIO,CJ,CJA,CJAB,CALCINHA  BIQUINI CJ MSA ELLA BICOLOR LI,9424790001,G,CALCINHA / BOTTOM,1,1,both,0,0
951,JEANS,C,VESTUARIO,CY,CYB,CYBA,CALCA  JV MSA INK USED TANK ESMERIL BARR,9415790006,44,CALÇA JEANS,4,1,both,-3,3
952,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS JV MSA INK VISTA ABOTOADA ST,9383950004,40,CALÇA JEANS,3,0,left_only,-3,3
953,JEANS,C,VESTUARIO,CY,CYA,CYAD,SHORT JEANS CRN SLO INK BARRA CHUVEIRINH,9384680004,38,BOTTOM CURTO JEANS,2,1,both,-1,1
954,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS CRN MSA INK USED TANK ESMERI,9412420001,36,CALÇA JEANS,1,1,both,0,0
955,PRETO,C,VESTUARIO,C6,C6A,C6AT,SOUTIEN APP TRS POA PRETO REF  61411   D,8853740003,50,SOUTIEN / TOP,6,4,both,-2,2
956,,H,ELETRO-ELETRONICOS,HZ,HZA,HZAH,RELOGIO MASC TUGUIR PRETO EMBORRACHADO A,9728570000,,MASCULINO EMBORRACHADO,1,1,both,0,0
957,,W,BELEZA,WB,WBQ,WBQE,CONDICIONADOR JEQUITI BARBIE  100 ML,9739860000,,CONDICIONADOR,5,5,both,0,0
958,PRETO,C,VESTUARIO,C9,C9A,C9AK,CALCINHA  C9 SLO ELLA LISO PRETO G PRETO,9657660001,G,KIT CALCINHA,5,2,both,-3,3
959,JEANS,C,VESTUARIO,C8,C8B,C8BA,CALCA C8 PRD PPO INK STONE USED TANK E F,9483790002,2,CALÇA,1,0,left_only,-1,1
960,ROSA,C,VESTUARIO,C6,C6A,C6AB,3 CALCINHAS APP TRS MFB REF 51509 K152 B,7199900003,G,CALCINHA / BOTTOM,8,5,both,-3,3
961,PRETO,C,VESTUARIO,CJ,CJA,CJAS,SHORT DOLL SEM MANGA CJ PRD ELLA RENDA L,9570150001,G,SHORT DOLL,1,1,both,0,0
962,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS CDD PRD INK COM RECORTES LIS,9412340001,38,CALÇA JEANS,1,1,both,0,0
963,JEANS,C,VESTUARIO,CY,CYB,CYBA,CALCA JEANS CRN MSA INK VISTA ABOTOADA R,9415730005,38,CALÇA JEANS,2,2,both,0,0
964,ROSA,C,VESTUARIO,CN,CNC,CNCS,SHORT DOLL MANGA CURTA JV CN SLO ELLA BU,9438700003,G,SHORT DOLL,3,4,both,1,0
965,ROSA,C,VESTUARIO,C6,C6A,C6AB,3 CALCINHAS APP BIQUINI TRS REF 51509 K2,8551830001,M,CALCINHA / BOTTOM,9,6,both,-3,3
966,ROSA,C,VESTUARIO,C8,C8C,C8CA,CALCA C8 PRD EVT LCM JOGGER CLOCHARD INF,9405840001,6,CALÇA,2,0,left_only,-2,2
967,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS CRN MSA INK FIVE POCKETS USE,9384130002,38,CALÇA JEANS,2,2,both,0,0
968,BEGE,C,VESTUARIO,CM,CMB,CMBB,BERMUDA JEANS EVT PAIS CRN PRD INK CATIO,9578810003,44,BERMUDA SARJA,2,0,left_only,-2,2
969,BEGE,C,VESTUARIO,C6,C6A,C6AB,CINTA APP TRS MODELADORA REF 01 404 2,8604980001,P,CALCINHA / BOTTOM,4,3,both,-1,1
970,BEGE,C,VESTUARIO,CY,CYA,CYAA,CALCA SARJA CRN MSA INK SEM COSTURA  LIS,9588410004,40,CALÇA JEANS,2,0,left_only,-2,2
971,PRETO,C,VESTUARIO,C5,C5A,C5AB,OCULOS  C5 MAIS ACESSORIOS OCULOS FEM ME,9717790001,UNICO,ÓCULOS METAL,1,1,both,0,0
972,,H,ELETRO-ELETRONICOS,HZ,HZB,HZBL,RELOGIO MONDAINE FEM DOURADO KIT COLAR,9538950000,,KIT FEMININO DOURADO,2,2,both,0,0
973,JEANS,C,VESTUARIO,CY,CYB,CYBA,CALCA  JV MSA INK USED TANK ESMERIL BARR,9415800001,34,CALÇA JEANS,2,0,left_only,-2,2
974,PRETO,C,VESTUARIO,C9,C9A,C9AT,SOUTIEN NADADOR ESS C9 PRD LISO PTO ESPE,9316970003,44,SOUTIEN / TOP,2,1,both,-1,1
975,JEANS,C,VESTUARIO,CM,CMA,CMAA,CALCA JEANS INK calca slim used bigode L,9546820005,42,CALÇA JEANS,2,0,left_only,-2,2
976,VERDE,C,VESTUARIO,CY,CYA,CYAE,SHORT JEANS CRN PRD INK COM FAIXA LISO 0,9480720002,38,BOTTOM CURTO SARJA,1,1,both,0,0
977,,W,BELEZA,WK,WKG,WKGA,ESTOJO MARSELHA LAVANDE  SHAMPOO  CONDIC,9661400000,,PRODUTOS PARA CORPO,2,2,both,0,0
978,JEANS,C,VESTUARIO,CM,CMC,CMCA,CALCA CM SLO INK SKINNY LAVAGEM MARMORIZ,9440910006,38,BOTTOM  JOVEM,1,0,left_only,-1,1
979,PRETO,C,VESTUARIO,C6,C6A,C6AT,SOUTIEN APP TRS OLIMPO BOURBON PRETO ESP,8069910003,50,SOUTIEN / TOP,2,0,left_only,-2,2
980,PINK,C,VESTUARIO,C6,C6A,C6AB,3 CALCINHAS APP TRS REF 51811 K102 ESTAM,8845470002,G,CALCINHA / BOTTOM,1,1,both,0,0
981,JEANS,C,VESTUARIO,CM,CMA,CMAB,BERMUDA JEANS CRN MSA INK USED BIGODE DE,9578640003,42,BERMUDA JEANS,2,0,left_only,-2,2
982,AZUL,C,VESTUARIO,CY,CYA,CYAB,CALCA  CF SLO INK BARRA VIRADA MARINHO 1,9265870002,38,CALÇA SARJA,1,0,left_only,-1,1
983,JEANS,C,VESTUARIO,CM,CMA,CMAA,CALCA JEANS CRN MSA INK AMCIADAUSEDSTONE,9578060004,44,CALÇA JEANS,3,0,left_only,-3,3
984,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS JV PRD INK COS DUPLO E BOLSO,9579600001,40,CALÇA JEANS,1,0,left_only,-1,1
985,,W,BELEZA,WB,WBO,WBOC,HIDRAT DESOD CORP PHYTO LOTION VANILLA K,9594030000,,CORPORAIS,5,5,both,0,0
986,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS CRN SLO INK USED TANK RASGOS,9480770004,42,CALÇA JEANS,1,1,both,0,0
987,JEANS,C,VESTUARIO,CY,CYC,CYCD,BERMUDA APP JEANS PS SLO INK CICLISTA BL,9392380002,48,BOTTOM CURTO JEANS PLUS,5,5,both,0,0
988,ROSA,C,VESTUARIO,CJ,CJA,CJAB,CALCINHA CALECON CJ MSA ELLA LISO ROSA P,9424650003,P,CALCINHA / BOTTOM,1,1,both,0,0
989,ROSA,C,VESTUARIO,CJ,CJA,CJAK,CALCINHA CJ PRD ELLA LISO ROSA P ROSA ME,9456160004,P,KIT CALCINHA,1,1,both,0,0
990,PRETO,C,VESTUARIO,CJ,CJA,CJAB,CALCINHA CJ MSA ELLA CALECON BICOLOR PRE,9469210003,GG,CALCINHA / BOTTOM,2,2,both,0,0
991,JEANS,C,VESTUARIO,CY,CYC,CYCD,SHORT JEANS PS PRD BARRA DOBRADA E PREGA,9633210002,48,BOTTOM CURTO JEANS PLUS,3,0,left_only,-3,3
992,JEANS,C,VESTUARIO,C8,C8C,C8CD,VESTIDO SEM MANGA EVT JEANS C8 SLO INK V,9633540003,4,INTEIRO,2,0,left_only,-2,2
993,BRANCO,C,VESTUARIO,CR,CRA,CRAK,CALCINHA CR SLO ELLA 2 PCS MICRO FLORES,9280850003,M,KIT CALCINHA,1,1,both,0,0
994,BEGE,C,VESTUARIO,CJ,CJA,CJAB,CALCINHA CJ PRD ELLA TULE BORDADO  BICOL,9646770003,M,CALCINHA / BOTTOM,3,3,both,0,0
995,JEANS,C,VESTUARIO,CY,CYA,CYAI,MACACAO SEM MANGA JEANS CRN PRD INK DIRT,9480820004,42,INTEIRO,3,3,both,0,0
996,JEANS,C,VESTUARIO,C8,C8C,C8CA,CALCA C8 JUVA PRD INK SKY BLEACH COM USE,9484020002,12,CALÇA,3,0,left_only,-3,3
997,PRETO,C,VESTUARIO,C6,C6A,C6AT,2 SOUTIENS APP TRS BASE C  BJ SEM ARO RE,8523680001,42,SOUTIEN / TOP,5,1,both,-4,4
998,ROXO,C,VESTUARIO,CY,CYA,CYAB,CALCA SARJA EVT JV MSA INK BASICA BARRA,9420080005,36,CALÇA SARJA,1,1,both,0,0
999,VERMELHO,C,VESTUARIO,CJ,CJA,CJAC,CAMISOLA APP SEM MANGA SNS SLO ELLA DIVI,8830380002,GG,CAMISOLA / ROBE,1,1,both,0,0
1000,PRETO,C,VESTUARIO,CM,CMB,CMBA,CALCA SARJA EVT PAIS CF PRD INK AMACIADA,9486500002,48,CALÇA SARJA,1,0,left_only,-1,1
1001,PINK,C,VESTUARIO,C6,C6A,C6AB,3 CALCINHAS APP TRS MFB PINK BCO MHO REF,6944140007,GG,CALCINHA / BOTTOM,1,0,left_only,-1,1
1002,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS CRN MSA INK SKY USED TANK BA,9479800003,44,CALÇA JEANS,2,0,left_only,-2,2
1003,JEANS,C,VESTUARIO,CY,CYA,CYAF,BLUSA JEANS APP EVT JEANS CRN  PRD INK M,8569960004,42,TOP,1,0,left_only,-1,1
1004,SORTIDO,C,VESTUARIO,C6,C6A,C6AA,3 CALCINHAS APP TANGA TRS COTTON LISO PR,4871130004,GG,CALCINHA / BOTTOM,3,2,both,-1,1
1005,JEANS,C,VESTUARIO,CY,CYA,CYAF,BLUSA JEANS APP EVT JEANS CRN  PRD INK M,8569960006,46,TOP,2,0,left_only,-2,2
1006,AZUL,C,VESTUARIO,CM,CMB,CMBB,BERMUDA SARJA CRN MSA INK BERMUDA CHINO,9637480012,48,BERMUDA SARJA,1,0,left_only,-1,1
1007,JEANS,C,VESTUARIO,CY,CYA,CYAD,SHORT JEANS CRN MSA INK BARRA VIRADA LIS,9384410002,36,BOTTOM CURTO JEANS,1,0,left_only,-1,1
1008,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS CRN MSA INK RECORTES  LISO C,9588600001,36,CALÇA JEANS,1,0,left_only,-1,1
1009,JEANS,C,VESTUARIO,CY,CYA,CYAD,SHORT JEANS JV MSA INK BARRA CHUVEIRINHO,9167490005,42,BOTTOM CURTO JEANS,3,0,left_only,-3,3
1010,ROSA,C,VESTUARIO,CJ,CJA,CJAT,SOUTIEN CJ PRD ELLA BICOLOR ROSA 46 ROSA,9563910004,46,SOUTIEN / TOP,1,0,left_only,-1,1
1011,CHOCOLATE,C,VESTUARIO,C6,C6A,C6AB,CALCINHA APP REDUTORA BOXER TRS  REF C03,8398800002,G,CALCINHA / BOTTOM,9,8,both,-1,1
1012,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS CDD PRD INK BASICA COSTURA Z,9472310002,40,CALÇA JEANS,1,0,left_only,-1,1
1013,JEANS,C,VESTUARIO,CY,CYA,CYAD,SHORT JEANS CRN PRD INK ELASTICO NO COS,9420230001,36,BOTTOM CURTO JEANS,1,1,both,0,0
1014,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS CRN PRD INK VISTA ABOTOADA U,9412370004,46,CALÇA JEANS,2,1,both,-1,1
1015,MARROM,C,VESTUARIO,CM,CMB,CMBA,CALCA CM MSA INK JOGGER  CAMEL LISO MARR,9440540003,42,CALÇA SARJA,1,0,left_only,-1,1
1016,PRETO,C,VESTUARIO,C6,C6A,C6AB,CINTA APP CALCINHA TRS FAIXA ULTRA ZERO,8332790002,M,CALCINHA / BOTTOM,4,4,both,0,0
1017,PRETO,C,VESTUARIO,CM,CMB,CMBB,BERMUDA JEANS CRN MSA INK CHINO LISO 220,9578790010,42,BERMUDA SARJA,2,0,left_only,-2,2
1018,JEANS,C,VESTUARIO,CY,CYA,CYAD,SAIA JEANS JV PRD INK PLISSADA  LISO 504,9420210002,42,BOTTOM CURTO JEANS,1,1,both,0,0
1019,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA  CRN PRD INK DETONADA  LISO C21457,9412580001,36,CALÇA JEANS,1,0,left_only,-1,1
1020,DOURADO,C,VESTUARIO,C5,C5H,C5HA,TIARA COM 9 BOLINHAS DOURADA AD21 0179 U,9563710001,UNICO,ACESSÓRIOS DE CABELO,3,0,left_only,-3,3
1021,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS CRN MSA INK USED TANK BARRA,9479560002,38,CALÇA JEANS,1,1,both,0,0
1022,JEANS,C,VESTUARIO,CY,CYA,CYAD,SHORT JEANS INK LISO JEANS 34 JEANS MEDI,9575900001,34,BOTTOM CURTO JEANS,1,0,left_only,-1,1
1023,MARROM,C,VESTUARIO,C5,C5A,C5AA,OCULOS  C5 MSA MAIS ACESSORIOS FEM ACE M,9682910001,UNICO,ÓCULOS ACETATO,1,1,both,0,0
1024,JEANS,C,VESTUARIO,CY,CYA,CYAD,BERMUDA JEANS CRN MSA INK 12 COXA GM LIS,9622500006,46,BOTTOM CURTO JEANS,2,0,left_only,-2,2
1025,JEANS,C,VESTUARIO,C8,C8D,C8DA,CALCA C8 PRD EVT PAIS INK INFO SUPER STO,9483950001,4,CALÇA,2,2,both,0,0
1026,JEANS,C,VESTUARIO,CY,CYA,CYAD,SHORT JEANS CRN SLO INK BARRA DESFIADA C,9383980002,44,BOTTOM CURTO JEANS,3,3,both,0,0
1027,BRANCO,C,VESTUARIO,CN,CNC,CNCC,CAMISOLA MANGA CURTA JV CN PRD ELLA FIVE,9654600003,M,CAMISOLA / ROBE,3,0,left_only,-3,3
1028,JEANS,C,VESTUARIO,CY,CYB,CYBA,CALCA  JV MSA INK USED TANK ESMERIL BARR,9415780001,34,CALÇA JEANS,2,0,left_only,-2,2
1029,PRETO,C,VESTUARIO,CJ,CJA,CJAT,SOUTIEN CJ PRD ELLA BASE ALONGADO LISO P,9687090001,G,SOUTIEN / TOP,5,3,both,-2,2
1030,BRANCO,C,VESTUARIO,CR,CRA,CRAT,SOUTIEN CR SLO ELLA LISO BRANCO 44 BRANC,9671710003,44,SOUTIEN / TOP,3,3,both,0,0
1031,BRANCO,C,VESTUARIO,CJ,CJA,CJAB,CALCINHA APP SLO CALECON RENDA VERAO BRA,7738200001,P,CALCINHA / BOTTOM,3,2,both,-1,1
1032,DOURADO,C,VESTUARIO,C5,C5D,C5DA,COLAR CHOCKER 5 PINGENTES  NIQUEL  LTCP,9435210001,CURTO,COLAR,13,0,left_only,-13,13
1033,VERMELHO,C,VESTUARIO,CJ,CJA,CJAB,CALCINHA APP SNS SLO BIQUINI RENDA VERME,8222150002,M,CALCINHA / BOTTOM,1,1,both,0,0
1034,JEANS,C,VESTUARIO,CM,CMA,CMAA,CALCA CM MSA INK LAVAGEM COM STONE USED,9440860004,44,CALÇA JEANS,1,0,left_only,-1,1
1035,PINK,C,VESTUARIO,C8,C8C,C8CA,CALCA C8 PRD INFA INK COM BOTOES COLORID,9483660004,4,CALÇA,1,0,left_only,-1,1
1036,VERDE,C,VESTUARIO,CJ,CJA,CJAK,2 CALCINHAS BIQUNI FIO CJ SLO VERDE PTO,9719920004,P,KIT CALCINHA,4,4,both,0,0
1037,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS JV PRD INK COS DUPLO E BOLSO,9579600002,38,CALÇA JEANS,2,1,both,-1,1
1038,JEANS,C,VESTUARIO,CM,CMC,CMCA,CALCA  CRN EVT JNS PRD INK RECORTE USED,9578470001,36,BOTTOM  JOVEM,1,0,left_only,-1,1
1039,JEANS,C,VESTUARIO,CM,CMA,CMAA,CALCA CM MSA INK lavagem com stone e use,9440960003,44,CALÇA JEANS,3,0,left_only,-3,3
1040,JEANS,C,VESTUARIO,CY,CYC,CYCD,BERMUDA JEANS PS SLO INK USED LISO JEANS,9383830002,48,BOTTOM CURTO JEANS PLUS,3,3,both,0,0
1041,JEANS,C,VESTUARIO,CM,CMA,CMAA,CALCA CM MSA INK SLIM LAVAGEM COM USED B,9440810005,44,CALÇA JEANS,1,1,both,0,0
1042,BRANCO,C,VESTUARIO,CY,CYA,CYAE,SHORT   INK LISO 07FE00650 BRANCO 36 BRA,9585490004,36,BOTTOM CURTO SARJA,1,1,both,0,0
1043,VERMELHO,C,VESTUARIO,CJ,CJA,CJAB,CALCINHA APP SNS  SLO CALECON RENDA VERM,8222170004,GG,CALCINHA / BOTTOM,5,2,both,-3,3
1044,,W,BELEZA,WB,WBI,WBIC,DESODORANTE HIDRATANTE CORPORAL JEQUITI,8951670000,,HIDRATANTE CORPORAL,1,1,both,0,0
1045,JEANS,C,VESTUARIO,CY,CYA,CYAD,SHORT JEANS CRN PRD INK ELASTICO NO COS,9480120001,46,BOTTOM CURTO JEANS,2,2,both,0,0
1046,ROSA,C,VESTUARIO,CR,CRA,CRAS,SHORT DOLL MANGA CURTA CR PRD ELLA  RIBA,9590750002,GG,SHORT DOLL,4,4,both,0,0
1047,PRATA,C,VESTUARIO,C5,C5E,C5EA,CJT NIQUEL CRUZ E MEDALHA POMBA BRINCO B,9515070001,SEM TAMANHO,CONJUNTO,4,0,left_only,-4,4
1048,DOURADO,C,VESTUARIO,C5,C5A,C5AB,OCULOS FEM MET DOURADO QUADRADO VERDE VC,9562670001,UNICO,ÓCULOS METAL,1,1,both,0,0
1049,BEGE,C,VESTUARIO,CP,CPM,CPMG,MEIA CP FCX MAIS ACESSORIOS SAPATILHA ES,9306280001,34/39,MEIA CASUAL/ESPORTIVA,5,0,left_only,-5,5
1050,BRANCO,C,VESTUARIO,CJ,CJA,CJAB,CALCINHA APP SLO CALECON RENDA VERAO BRA,7738200003,G,CALCINHA / BOTTOM,3,2,both,-1,1
1051,PRETO,C,VESTUARIO,CM,CMB,CMBA,CALCA SARJA EVT PAIS CF PRD INK AMACIADA,9486500005,42,CALÇA SARJA,2,0,left_only,-2,2
1052,AZUL,C,VESTUARIO,CJ,CJA,CJAT,SOUTIEN  SLO ELLA MARINHO LISO AZUL 42 A,9637490002,42,SOUTIEN / TOP,3,2,both,-1,1
1053,CINZA,C,VESTUARIO,C6,C6A,C6AT,2 SOUTIENS APP AMAMENTACAO TRS REF 40205,8505660003,44,SOUTIEN / TOP,2,2,both,0,0
